Time,Load,Tensile strain (Extension),Tensile extension,Tensile stress
(s),(N),(mm/mm),(mm),(MPa)
"0.00000","2.27574","0.00078","0.01081","0.11095"
"0.10000","13.84561","0.00222","0.03069","0.67505"
"0.20000","19.20872","0.00346","0.04781","0.93653"
"0.30000","19.01129","0.00467","0.06456","0.92691"
"0.40000","17.37236","0.00587","0.08125","0.84700"
"0.50000","16.80661","0.00709","0.09806","0.81941"
"0.60000","17.16574","0.00828","0.11456","0.83692"
"0.70000","18.78492","0.00949","0.13131","0.91587"
"0.80000","21.61832","0.01070","0.14794","1.05401"
"0.90000","25.24148","0.01189","0.16444","1.23066"
"1.00000","31.07099","0.01311","0.18131","1.51488"
"1.10000","39.14534","0.01431","0.19787","1.90855"
"1.20000","47.87699","0.01552","0.21469","2.33427"
"1.30000","58.02077","0.01672","0.23125","2.82883"
"1.40000","70.49592","0.01792","0.24787","3.43706"
"1.50000","84.29449","0.01914","0.26475","4.10982"
"1.60000","99.17095","0.02034","0.28125","4.83513"
"1.70000","112.97109","0.02155","0.29800","5.50796"
"1.80000","127.25688","0.02275","0.31469","6.20447"
"1.90000","140.80482","0.02395","0.33119","6.86501"
"2.00000","156.58424","0.02517","0.34812","7.63435"
"2.10000","174.36316","0.02636","0.36462","8.50117"
"2.20000","192.05594","0.02757","0.38131","9.36379"
"2.30000","210.04266","0.02878","0.39800","10.24074"
"2.40000","227.70103","0.02998","0.41462","11.10168"
"2.50000","245.19980","0.03119","0.43131","11.95484"
"2.60000","262.51486","0.03239","0.44794","12.79905"
"2.70000","278.94803","0.03360","0.46469","13.60026"
"2.80000","296.11276","0.03480","0.48131","14.43713"
"2.90000","312.14490","0.03601","0.49800","15.21879"
"3.00000","328.57898","0.03722","0.51475","16.02004"
"3.10000","344.61072","0.03842","0.53131","16.80167"
"3.20000","360.41449","0.03962","0.54800","17.57220"
"3.30000","376.06592","0.04083","0.56469","18.33529"
"3.40000","391.77914","0.04203","0.58131","19.10139"
"3.50000","406.85449","0.04325","0.59812","19.83640"
"3.60000","422.33508","0.04444","0.61456","20.59117"
"3.70000","436.49319","0.04564","0.63119","21.28145"
"3.80000","451.67740","0.04685","0.64794","22.02176"
"3.90000","466.03946","0.04805","0.66456","22.72199"
"4.00000","480.55634","0.04927","0.68137","23.42977"
"4.10000","494.83328","0.05047","0.69794","24.12585"
"4.20000","508.48898","0.05168","0.71475","24.79164"
"4.30000","522.34906","0.05288","0.73131","25.46740"
"4.40000","535.57214","0.05409","0.74800","26.11210"
"4.50000","548.87592","0.05530","0.76475","26.76073"
"4.60000","561.55963","0.05649","0.78131","27.37913"
"4.70000","573.53491","0.05771","0.79812","27.96299"
"4.80000","585.26343","0.05891","0.81469","28.53482"
"4.90000","596.59027","0.06011","0.83131","29.08707"
"5.00000","608.04529","0.06133","0.84812","29.64556"
"5.10000","618.69196","0.06252","0.86462","30.16465"
"5.20000","629.10132","0.06372","0.88131","30.67216"
"5.30000","639.95898","0.06494","0.89806","31.20153"
"5.40000","649.13849","0.06612","0.91450","31.64908"
"5.50000","658.74860","0.06734","0.93137","32.11763"
"5.60000","667.73083","0.06853","0.94781","32.55556"
"5.70000","676.70264","0.06975","0.96462","32.99298"
"5.80000","685.09723","0.07096","0.98131","33.40227"
"5.90000","692.30139","0.07216","0.99800","33.75351"
"6.00000","699.71094","0.07338","1.01481","34.11477"
"6.10000","706.46844","0.07457","1.03131","34.44423"
"6.20000","712.55096","0.07578","1.04806","34.74079"
"6.30000","718.63324","0.07699","1.06475","35.03733"
"6.40000","723.52319","0.07818","1.08125","35.27575"
"6.50000","728.06122","0.07940","1.09812","35.49700"
"6.60000","732.12872","0.08059","1.11462","35.69531"
"6.70000","735.45569","0.08180","1.13131","35.85752"
"6.80000","738.16663","0.08301","1.14800","35.98969"
"6.90000","740.33600","0.08421","1.16462","36.09546"
"7.00000","741.65363","0.08542","1.18131","36.15971"
"7.10000","742.72968","0.08662","1.19800","36.21217"
"7.20000","742.62036","0.08783","1.21469","36.20684"
"7.30000","742.35797","0.08903","1.23131","36.19405"
"7.40000","740.83850","0.09023","1.24794","36.11996"
"7.50000","739.29095","0.09145","1.26475","36.04451"
"7.60000","737.10461","0.09265","1.28131","35.93792"
"7.70000","733.89050","0.09385","1.29800","35.78121"
"7.80000","730.37091","0.09506","1.31462","35.60961"
"7.90000","726.41888","0.09626","1.33131","35.41693"
"8.00000","722.47375","0.09748","1.34812","35.22458"
"8.10000","717.50409","0.09868","1.36469","34.98228"
"8.20000","712.06677","0.09988","1.38137","34.71718"
"8.30000","707.28326","0.10108","1.39800","34.48396"
"8.40000","701.10059","0.10229","1.41462","34.18252"
"8.50000","695.41449","0.10350","1.43144","33.90529"
"8.60000","689.12305","0.10470","1.44800","33.59855"
"8.70000","682.85486","0.10591","1.46469","33.29294"
"8.80000","675.90997","0.10711","1.48131","32.95434"
"8.90000","668.99774","0.10832","1.49800","32.61733"
"9.00000","661.78845","0.10952","1.51469","32.26584"
"9.10000","654.38947","0.11072","1.53131","31.90510"
"9.20000","646.47174","0.11193","1.54800","31.51906"
"9.30000","637.60883","0.11314","1.56469","31.08695"
"9.40000","627.21289","0.11433","1.58125","30.58009"
"9.50000","615.64270","0.11555","1.59806","30.01598"
"9.60000","601.85809","0.11675","1.61462","29.34390"
"9.70000","586.41064","0.11796","1.63144","28.59075"
"9.80000","568.97260","0.11917","1.64806","27.74055"
"9.90000","550.15143","0.12036","1.66462","26.82292"
"10.00000","529.29291","0.12157","1.68137","25.80595"
"10.10000","506.53735","0.12278","1.69800","24.69649"
"10.20000","481.64697","0.12398","1.71469","23.48295"
"10.30000","454.80444","0.12519","1.73137","22.17422"
"10.33000","445.23090","0.12555","1.73631","21.70746"
