Time,Load,Tensile strain (Extension),Tensile extension,Tensile stress
(s),(N),(mm/mm),(mm),(MPa)
"0.00000","2.58535","0.00083","0.01281","0.12785"
"0.10000","38.58710","0.00211","0.03231","1.90821"
"0.20000","62.63884","0.00323","0.04956","3.09762"
"0.30000","65.71213","0.00431","0.06619","3.24960"
"0.40000","68.72739","0.00540","0.08294","3.39871"
"0.50000","70.58333","0.00649","0.09969","3.49049"
"0.60000","70.97856","0.00757","0.11625","3.51004"
"0.70000","72.32620","0.00866","0.13300","3.57668"
"0.80000","72.68523","0.00975","0.14962","3.59444"
"0.90000","73.78452","0.01083","0.16625","3.64880"
"1.00000","74.24947","0.01191","0.18287","3.67179"
"1.10000","74.16354","0.01300","0.19956","3.66754"
"1.20000","75.90797","0.01410","0.21644","3.75381"
"1.30000","82.19318","0.01518","0.23294","4.06462"
"1.40000","93.66981","0.01626","0.24962","4.63217"
"1.50000","107.99877","0.01735","0.26637","5.34076"
"1.60000","126.39725","0.01843","0.28287","6.25061"
"1.70000","149.40906","0.01952","0.29969","7.38859"
"1.80000","174.59520","0.02061","0.31631","8.63409"
"1.90000","198.61581","0.02169","0.33287","9.82196"
"2.00000","222.87723","0.02279","0.34975","11.02174"
"2.10000","247.16267","0.02386","0.36631","12.22271"
"2.20000","270.80417","0.02496","0.38306","13.39183"
"2.30000","293.94824","0.02604","0.39969","14.53635"
"2.40000","317.15628","0.02712","0.41631","15.68404"
"2.50000","340.45950","0.02821","0.43300","16.83643"
"2.60000","363.11755","0.02930","0.44969","17.95691"
"2.70000","385.60880","0.03038","0.46631","19.06915"
"2.80000","408.01031","0.03146","0.48294","20.17696"
"2.90000","430.49194","0.03255","0.49969","21.28872"
"3.00000","452.22440","0.03364","0.51631","22.36343"
"3.10000","473.80551","0.03472","0.53294","23.43066"
"3.20000","495.01578","0.03581","0.54975","24.47956"
"3.30000","516.39478","0.03689","0.56631","25.53679"
"3.40000","537.31104","0.03798","0.58300","26.57114"
"3.50000","558.20435","0.03907","0.59969","27.60436"
"3.60000","578.28009","0.04014","0.61619","28.59715"
"3.70000","598.41736","0.04124","0.63306","29.59298"
"3.80000","618.93536","0.04232","0.64969","30.60764"
"3.90000","638.95953","0.04341","0.66631","31.59787"
"4.00000","659.44537","0.04450","0.68300","32.61094"
"4.10000","678.89612","0.04557","0.69956","33.57282"
"4.20000","697.82104","0.04667","0.71637","34.50870"
"4.30000","716.62988","0.04775","0.73294","35.43883"
"4.40000","735.47040","0.04884","0.74969","36.37054"
"4.50000","753.71405","0.04993","0.76637","37.27272"
"4.60000","771.98206","0.05101","0.78294","38.17611"
"4.70000","789.58997","0.05210","0.79975","39.04686"
"4.80000","806.86298","0.05318","0.81631","39.90105"
"4.90000","823.44220","0.05427","0.83300","40.72092"
"5.00000","839.82867","0.05536","0.84975","41.53127"
"5.10000","856.08167","0.05644","0.86631","42.33501"
"5.20000","871.35107","0.05753","0.88306","43.09011"
"5.30000","886.84827","0.05861","0.89962","43.85648"
"5.40000","900.61584","0.05969","0.91631","44.53732"
"5.50000","914.79376","0.06079","0.93306","45.23845"
"5.60000","928.19873","0.06186","0.94962","45.90135"
"5.70000","941.05194","0.06296","0.96637","46.53697"
"5.80000","953.37567","0.06403","0.98287","47.14640"
"5.90000","965.93469","0.06512","0.99962","47.76747"
"6.00000","977.18872","0.06621","1.01637","48.32401"
"6.10000","988.41840","0.06730","1.03300","48.87934"
"6.20000","998.37982","0.06839","1.04975","49.37195"
"6.30000","1007.92218","0.06947","1.06631","49.84384"
"6.40000","1016.51990","0.07055","1.08300","50.26902"
"6.50000","1024.51855","0.07164","1.09975","50.66457"
"6.60000","1031.08337","0.07272","1.11631","50.98921"
"6.70000","1037.16174","0.07382","1.13306","51.28980"
"6.80000","1042.17395","0.07489","1.14962","51.53766"
"6.90000","1046.08740","0.07598","1.16631","51.73119"
"7.00000","1048.85535","0.07707","1.18300","51.86807"
"7.10000","1049.69824","0.07816","1.19969","51.90975"
"7.20000","1049.34363","0.07925","1.21644","51.89222"
"7.30000","1044.63159","0.08032","1.23294","51.65919"
"7.32800","573.05524","0.08065","1.23794","28.33877"
