Time,Load,Tensile strain (Extension),Tensile extension,Tensile stress
(s),(N),(mm/mm),(mm),(MPa)
"0.00000","8.57049","0.00000","0.00000","0.35151"
"0.10000","10.12796","0.00089","0.01325","0.41539"
"0.20000","11.01041","0.00220","0.03281","0.45158"
"0.30000","10.62616","0.00335","0.04994","0.43582"
"0.40000","11.57421","0.00446","0.06650","0.47470"
"0.50000","12.03725","0.00559","0.08331","0.49369"
"0.60000","13.07314","0.00671","0.10000","0.53618"
"0.70000","13.47377","0.00782","0.11656","0.55261"
"0.80000","14.22968","0.00895","0.13337","0.58361"
"0.90000","15.25411","0.01006","0.14994","0.62563"
"1.00000","18.32618","0.01117","0.16656","0.75163"
"1.10000","28.30096","0.01229","0.18325","1.16073"
"1.20000","51.44446","0.01341","0.19994","2.10994"
"1.30000","79.65645","0.01454","0.21675","3.26702"
"1.40000","110.15392","0.01564","0.23319","4.51784"
"1.50000","140.16614","0.01676","0.24994","5.74875"
"1.60000","170.17044","0.01789","0.26669","6.97935"
"1.70000","200.02397","0.01900","0.28325","8.20376"
"1.80000","230.16986","0.02012","0.30006","9.44016"
"1.90000","260.27106","0.02124","0.31662","10.67472"
"2.00000","289.62646","0.02235","0.33325","11.87870"
"2.10000","319.70361","0.02348","0.35006","13.11228"
"2.20000","348.74341","0.02459","0.36662","14.30331"
"2.30000","377.73328","0.02571","0.38337","15.49230"
"2.40000","407.08356","0.02683","0.40000","16.69607"
"2.50000","436.14209","0.02794","0.41662","17.88787"
"2.60000","464.93695","0.02906","0.43331","19.06886"
"2.70000","493.58578","0.03018","0.44994","20.24386"
"2.80000","521.75287","0.03130","0.46669","21.39910"
"2.90000","550.68512","0.03241","0.48325","22.58572"
"3.00000","578.26526","0.03354","0.50006","23.71689"
"3.10000","606.07343","0.03465","0.51669","24.85741"
"3.20000","633.62817","0.03577","0.53337","25.98754"
"3.30000","660.92029","0.03690","0.55012","27.10689"
"3.40000","687.93488","0.03800","0.56656","28.21487"
"3.50000","713.57990","0.03913","0.58337","29.26667"
"3.60000","739.97241","0.04025","0.60006","30.34913"
"3.70000","765.17902","0.04135","0.61656","31.38295"
"3.80000","790.23346","0.04248","0.63337","32.41053"
"3.90000","815.03961","0.04359","0.65000","33.42792"
"4.00000","838.76233","0.04471","0.66662","34.40088"
"4.10000","862.44385","0.04583","0.68331","35.37215"
"4.20000","886.09308","0.04694","0.69994","36.34210"
"4.30000","908.71277","0.04807","0.71669","37.26982"
"4.40000","931.16797","0.04918","0.73331","38.19080"
"4.50000","952.71094","0.05030","0.75000","39.07436"
"4.60000","974.09131","0.05142","0.76669","39.95125"
"4.70000","994.77332","0.05254","0.78331","40.79950"
"4.80000","1015.41376","0.05366","0.80012","41.64604"
"4.90000","1034.94995","0.05477","0.81662","42.44730"
"5.00000","1054.22522","0.05589","0.83331","43.23785"
"5.10000","1072.97668","0.05702","0.85012","44.00692"
"5.20000","1090.88354","0.05812","0.86662","44.74135"
"5.30000","1107.89685","0.05925","0.88337","45.43913"
"5.40000","1124.67126","0.06036","0.90000","46.12711"
"5.50000","1140.53479","0.06148","0.91662","46.77774"
"5.60000","1156.34399","0.06260","0.93337","47.42613"
"5.70000","1171.27148","0.06371","0.94994","48.03837"
"5.80000","1185.03845","0.06483","0.96662","48.60300"
"5.90000","1198.53186","0.06594","0.98319","49.15642"
"6.00000","1211.24768","0.06707","1.00000","49.67795"
"6.10000","1223.23303","0.06819","1.01675","50.16951"
"6.20000","1234.61658","0.06930","1.03331","50.63639"
"6.30000","1245.06604","0.07043","1.05006","51.06497"
"6.40000","1254.75586","0.07154","1.06662","51.46238"
"6.50000","1263.93335","0.07266","1.08337","51.83879"
"6.60000","1272.38464","0.07378","1.10006","52.18541"
"6.70000","1279.96326","0.07490","1.11669","52.49624"
"6.80000","1286.51135","0.07601","1.13337","52.76480"
"6.90000","1292.37732","0.07713","1.15000","53.00539"
"7.00000","1297.70483","0.07825","1.16669","53.22389"
"7.10000","1302.01501","0.07936","1.18331","53.40067"
"7.20000","1305.57703","0.08048","1.20000","53.54676"
"7.30000","1307.99414","0.08161","1.21675","53.64589"
"7.40000","1310.01099","0.08272","1.23331","53.72861"
"7.50000","1311.35876","0.08383","1.24994","53.78389"
"7.60000","1311.78809","0.08496","1.26669","53.80149"
"7.62600","751.15961","0.08526","1.27125","30.80796"
